unq_id,timestamp,customer_no,location,revenue_per_minute,before
Cust_2019-09-02 07:03:00_no_1,2019-09-02 07:03:00,1,dairy,5,
Cust_2019-09-02 07:03:00_no_2,2019-09-02 07:03:00,2,dairy,5,dairy
Cust_2019-09-02 07:04:00_no_3,2019-09-02 07:04:00,3,dairy,5,dairy
Cust_2019-09-02 07:04:00_no_4,2019-09-02 07:04:00,4,dairy,5,dairy
Cust_2019-09-02 07:04:00_no_5,2019-09-02 07:04:00,5,spices,3,dairy
Cust_2019-09-02 07:04:00_no_6,2019-09-02 07:04:00,6,spices,3,spices
Cust_2019-09-02 07:04:00_no_7,2019-09-02 07:04:00,7,spices,3,spices
Cust_2019-09-02 07:04:00_no_8,2019-09-02 07:04:00,8,fruit,4,spices
Cust_2019-09-02 07:05:00_no_1,2019-09-02 07:05:00,1,checkout,0,fruit
Cust_2019-09-02 07:05:00_no_5,2019-09-02 07:05:00,5,checkout,0,checkout
Cust_2019-09-02 07:05:00_no_6,2019-09-02 07:05:00,6,dairy,5,checkout
Cust_2019-09-02 07:05:00_no_7,2019-09-02 07:05:00,7,drinks,6,dairy
Cust_2019-09-02 07:06:00_no_10,2019-09-02 07:06:00,10,fruit,4,drinks
Cust_2019-09-02 07:06:00_no_11,2019-09-02 07:06:00,11,drinks,6,fruit
Cust_2019-09-02 07:06:00_no_12,2019-09-02 07:06:00,12,spices,3,drinks
Cust_2019-09-02 07:06:00_no_13,2019-09-02 07:06:00,13,dairy,5,spices
Cust_2019-09-02 07:06:00_no_14,2019-09-02 07:06:00,14,fruit,4,dairy
Cust_2019-09-02 07:06:00_no_2,2019-09-02 07:06:00,2,checkout,0,fruit
Cust_2019-09-02 07:06:00_no_3,2019-09-02 07:06:00,3,checkout,0,checkout
Cust_2019-09-02 07:06:00_no_9,2019-09-02 07:06:00,9,dairy,5,checkout
Cust_2019-09-02 07:07:00_no_12,2019-09-02 07:07:00,12,drinks,6,dairy
Cust_2019-09-02 07:07:00_no_15,2019-09-02 07:07:00,15,spices,3,drinks
Cust_2019-09-02 07:07:00_no_16,2019-09-02 07:07:00,16,dairy,5,spices
Cust_2019-09-02 07:07:00_no_8,2019-09-02 07:07:00,8,checkout,0,dairy
Cust_2019-09-02 07:08:00_no_10,2019-09-02 07:08:00,10,checkout,0,checkout
Cust_2019-09-02 07:08:00_no_11,2019-09-02 07:08:00,11,checkout,0,checkout
Cust_2019-09-02 07:08:00_no_15,2019-09-02 07:08:00,15,fruit,4,checkout
Cust_2019-09-02 07:08:00_no_4,2019-09-02 07:08:00,4,checkout,0,fruit
Cust_2019-09-02 07:09:00_no_14,2019-09-02 07:09:00,14,checkout,0,checkout
Cust_2019-09-02 07:09:00_no_16,2019-09-02 07:09:00,16,spices,3,checkout
